avd,cell_id,n,sum_rv,area_m2,unit_price_per_m2,unit_price_per_km2
2008,1102,188,4507500,1000000,4.5075,4507500
2008,1104,27,208500,1000000,0.2085,208500
2008,1105,120,1464075,1000000,1.464075,1464075
2008,1106,29,318150,1000000,0.31815,318150
2008,1107,2,8025,1000000,0.008025,8025
2008,1108,2,7025,1000000,0.007025,7025
2008,1110,29,521900,999812.9565154174,0.5219976362568294,521997.6362568293
2008,1111,20,2596750,560031.3032349892,4.636794380956958,4636794.380956958
2008,1123,1,23160000,981711.3973304019,23.59145474217749,23591454.74217749
2008,1125,145,95657801,1000000,95.657801,95657801
2008,1128,1,3950,1000000,0.00395,3950
2008,1129,12,78800,1000000,0.0788,78800
2008,1130,18,121725,1000000,0.121725,121725
2008,1131,60,889700,1000000,0.8897,889700
2008,1132,229,10356500,1000000,10.3565,10356500
2008,1133,3,10700,1000000,0.0107,10700
2008,1134,44,378960,1000000,0.37896,378960
2008,1135,1,6700,847745.3137005568,0.00790331705964062,7903.317059640621
2008,1136,218,13299350,1000000,13.29935,13299350
2008,1137,23,1435300,1000000,1.4353,1435300
2008,1138,176,4401950,1000000,4.40195,4401950
2008,1139,66,1005675,1000000,1.005675,1005675
2008,1140,24,286350,1000000,0.28635,286350
2008,1141,22,387950,1000000,0.38795,387950
2008,1142,279,11533300,867272.6239684522,13.298355881713539,13298355.88171354
2008,1143,8,124650,733739.9880785581,0.16988306760603364,169883.06760603364
2008,1144,63,1766850,821345.420988217,2.1511655813143533,2151165.5813143533
2008,1145,259,11988650,1000000,11.98865,11988650
2008,1146,135,5151750,1000000,5.15175,5151750
2008,1147,126,4049975,1000000,4.049975,4049975
2008,1148,183,2913050,1000000,2.91305,2913050
2008,1149,406,9134240,1000000,9.13424,9134240
2008,1150,31,267575,1000000,0.267575,267575
2008,1151,32,221900,1000000,0.2219,221900
2008,1152,173,2207950,1000000,2.20795,2207950
2008,1153,22,116450,1000000,0.11645,116450
2008,1154,40,377675,1000000.0000000298,0.37767499999998877,377674.99999998877
2008,1155,38,345200,999999.9999999106,0.34520000000003087,345200.00000003085
2008,1156,238,11773050,1000000,11.77305,11773050
2008,1157,125,1235650,1000000,1.23565,1235650
2008,1158,68,683500,1000000,0.6835,683500
2008,1160,40,468600,1000000,0.4686,468600
2008,1161,45,356450,1000000,0.35645,356450
2008,1163,10,89150,1000000,0.08915,89150
2008,1164,25,201000,1000000,0.201,201000
2008,1165,74,2210500,1000000,2.2105,2210500
2008,1166,47,715650,1000000,0.71565,715650
2008,1167,153,13905000,1000000,13.905,13905000
2008,1168,40,981750,1000000,0.98175,981750
2008,1169,9,70900,1000000,0.0709,70900
2008,1170,7,33860,1000000,0.03386,33860
2008,1184,1,380000,1000000,0.38,380000
2008,1187,24,196475,1000000,0.196475,196475
2008,1188,16,135550,1000000,0.13555,135550
2008,1189,100,1268125,1000000,1.268125,1268125
2008,1190,19,208750,1000000,0.20875,208750
2008,1191,133,3336075,1000000,3.336075,3336075
2008,1192,51,665600,1000000,0.6656,665600
2008,1193,32,345600,1000000,0.3456,345600
2008,1196,60,848350,1000000,0.84835,848350
2008,1197,2,26150,867277.6708596945,0.030151819744279416,30151.819744279415
2008,1198,47,625475,836344.5429423153,0.7478676166159196,747867.6166159196
2008,1199,97,2578800,976584.0942099136,2.6406328090837152,2640632.8090837155
2008,1200,17,206050,885482.4530732781,0.23269800466949325,232698.00466949324
2008,1201,120,2214700,873113.7307742238,2.5365538554022504,2536553.8554022503
2008,1202,162,5010200,1000000,5.0102,5010200
2008,1203,158,5586250,841459.4733958989,6.638762978632152,6638762.978632151
2008,1204,134,2157700,920093.3240041046,2.3450882032379297,2345088.20323793
2008,1205,94,1361450,1000000,1.36145,1361450
2008,1206,53,579760,1000000,0.57976,579760
2008,1207,95,1406350,1000000,1.40635,1406350
2008,1208,103,1064875,1000000,1.064875,1064875
2008,1209,115,1214800,1000000,1.2148,1214800
2008,1210,81,1382500,1000000,1.3825,1382500
2008,1211,447,8446050,1000000,8.44605,8446050
2008,1212,75,645800,1000000,0.6458,645800
2008,1213,30,176850,1000000.0000000298,0.17684999999999473,176849.99999999473
2008,1214,53,427675,999999.9999999106,0.4276750000000382,427675.00000003824
2008,1215,78,1430700,1000000,1.4307,1430700
2008,1216,15,207150,1000000,0.20715,207150
2008,1217,84,1797600,1000000,1.7976,1797600
2008,1218,11,69500,1000000,0.0695,69500
2008,1219,7,50650,1000000,0.05065,50650
2008,1220,18,120200,1000000,0.1202,120200
2008,1221,1,8300,1000000,0.0083,8300
2008,1222,10,91450,1000000,0.09145,91450
2008,1223,150,1822975,1000000,1.822975,1822975
2008,1224,53,477925,1000000,0.477925,477925
2008,1225,57,520500,1000000,0.5205,520500
2008,1226,21,265400,1000000,0.2654,265400
2008,1227,27,231050,1000000,0.23105,231050
2008,1229,15,92600,1000000,0.0926,92600
2008,1241,1,102000,1000000,0.102,102000
2008,1242,6,44550,1000000,0.04455,44550
2008,1243,5,28600,1000000,0.0286,28600
2008,1244,2,25500,1000000,0.0255,25500
2008,1245,20,197250,1000000,0.19725,197250
2008,1246,2,8475,1000000,0.008475,8475
2008,1247,8,41800,1000000,0.0418,41800
2008,1248,28,265650,1000000,0.26565,265650
2008,1249,41,409800,1000000,0.4098,409800
2008,1250,18,169500,1000000,0.1695,169500
2008,1251,13,136900,1000000,0.1369,136900
2008,1252,13,2966550,1000000,2.96655,2966550
2008,1253,18,1380700,1000000,1.3807,1380700
2008,1254,53,1064400,826777.898524195,1.2874074184856203,1287407.4184856203
